timestamp,J1,J2,J3,J4
1760797223.6672523,-6.000,3.000,6.000,0.000,P1
1760797234.498873,-3.904,21.700,43.555,0.000,P2
1760797238.0350432,-26.865,1.525,7.447,0.000,P3
1760797595.5845551,-6.000,3.000,6.000,9.000,P4
1760797598.469877,-6.000,5.879,6.000,9.000,P5
1760797599.1757343,-6.000,6.000,6.000,9.000,P6
1760797602.1516254,-6.000,8.879,6.000,9.000,P7
1760797602.8669949,-6.000,9.000,6.000,9.000,P8
1760797606.415054,-6.000,12.000,6.000,9.000,P9
1760797607.1192029,-6.000,12.000,3.121,9.000,P10
1760797607.824807,-6.000,12.000,3.000,9.000,P11
1760797609.2343383,-6.000,12.000,6.000,9.000,P12
1760797609.9389594,-6.000,12.000,9.000,9.000,P13
1760797610.6466997,-6.000,12.000,12.000,9.000,P14
1760797611.3554158,-6.000,12.000,15.000,9.000,P15
1760797612.1660094,-6.000,12.000,17.879,9.000,P16
1760797612.8775947,-6.000,12.000,18.000,9.000,P17
